,Learning Rate,Epoch,Mean AUC,Weight Decay,%Acc
0,0.01,0.0,0.9765217391304347,1.0,0.6635514018691588
1,0.01,1.0,0.9728787878787878,1.0,0.6635514018691588
2,0.01,2.0,0.9309090909090909,1.0,0.6635514018691588
3,0.01,3.0,0.927490118577075,1.0,0.6635514018691588
4,0.01,4.0,0.9733333333333334,1.0,0.6635514018691588
5,0.01,5.0,0.9684848484848486,1.0,0.6635514018691588
6,0.01,6.0,0.9592424242424243,1.0,0.6635514018691588
7,0.01,7.0,0.933155467720685,1.0,0.6635514018691588
8,0.01,8.0,0.9675625823451911,1.0,0.6635514018691588
9,0.01,9.0,0.9394466403162056,1.0,0.6635514018691588
10,0.01,10.0,0.9554545454545454,1.0,0.6635514018691588
11,0.01,11.0,0.9443939393939396,1.0,0.6635514018691588
12,0.01,12.0,0.952121212121212,1.0,0.6635514018691588
13,0.01,13.0,0.9195454545454546,1.0,0.6635514018691588
14,0.01,14.0,0.9374242424242425,1.0,0.6635514018691588
15,0.01,0.0,0.9575757575757576,0.01,0.6635514018691588
16,0.01,1.0,0.955250329380764,0.01,0.6635514018691588
17,0.01,2.0,0.962292490118577,0.01,0.6635514018691588
18,0.01,3.0,0.9375230566534916,0.01,0.6635514018691588
19,0.01,4.0,0.9607575757575756,0.01,0.6635514018691588
20,0.01,5.0,0.9541501976284584,0.01,0.6635514018691588
21,0.01,6.0,0.9691897233201581,0.01,0.6635514018691588
22,0.01,7.0,0.9787878787878788,0.01,0.6635514018691588
23,0.01,8.0,0.9551515151515152,0.01,0.6635514018691588
24,0.01,9.0,0.9619499341238472,0.01,0.6635514018691588
25,0.01,10.0,0.9765151515151516,0.01,0.6635514018691588
26,0.01,11.0,0.9544927536231884,0.01,0.6635514018691588
27,0.01,12.0,0.9456060606060607,0.01,0.6635514018691588
28,0.01,13.0,0.9775757575757575,0.01,0.6635514018691588
29,0.01,14.0,0.9559090909090908,0.01,0.6635514018691588
30,0.01,0.0,0.9618379446640316,0.0001,0.6635514018691588
31,0.01,1.0,0.9586561264822134,0.0001,0.6635514018691588
32,0.01,2.0,0.9412318840579711,0.0001,0.6635514018691588
33,0.01,3.0,0.9441106719367589,0.0001,0.6635514018691588
34,0.01,4.0,0.9775757575757575,0.0001,0.6635514018691588
35,0.01,5.0,0.9739393939393939,0.0001,0.6635514018691588
36,0.01,6.0,0.9678787878787878,0.0001,0.6635514018691588
37,0.01,7.0,0.9363636363636364,0.0001,0.6635514018691588
38,0.01,8.0,0.9652108036890645,0.0001,0.6635514018691588
39,0.01,9.0,0.9717259552042161,0.0001,0.6635514018691588
40,0.01,10.0,0.9612121212121213,0.0001,0.6635514018691588
41,0.01,11.0,0.9587878787878787,0.0001,0.6635514018691588
42,0.01,12.0,0.989090909090909,0.0001,0.6635514018691588
43,0.01,13.0,0.957707509881423,0.0001,0.6635514018691588
44,0.01,14.0,0.9353030303030303,0.0001,0.6635514018691588
45,0.001,0.0,0.9630303030303031,1.0,0.6635514018691588
46,0.001,1.0,0.9551515151515152,1.0,0.6635514018691588
47,0.001,2.0,0.9587878787878787,1.0,0.6635514018691588
48,0.001,3.0,0.9698484848484848,1.0,0.6635514018691588
49,0.001,4.0,0.976969696969697,1.0,0.6635514018691588
50,0.001,5.0,0.9504347826086956,1.0,0.6635514018691588
51,0.001,6.0,0.9662121212121213,1.0,0.6635514018691588
52,0.001,7.0,0.956231884057971,1.0,0.6635514018691588
53,0.001,8.0,0.9454743083003954,1.0,0.6635514018691588
54,0.001,9.0,0.9521212121212121,1.0,0.6635514018691588
55,0.001,10.0,0.9503030303030303,1.0,0.6635514018691588
56,0.001,11.0,0.9666666666666667,1.0,0.6635514018691588
57,0.001,12.0,0.961080368906456,1.0,0.6635514018691588
58,0.001,13.0,0.9433333333333335,1.0,0.6635514018691588
59,0.001,14.0,0.9715151515151516,1.0,0.6635514018691588
60,0.001,0.0,0.9672727272727272,0.01,0.6635514018691588
61,0.001,1.0,0.9575955204216073,0.01,0.6635514018691588
62,0.001,2.0,0.967878787878788,0.01,0.6635514018691588
63,0.001,3.0,0.9587878787878787,0.01,0.6635514018691588
64,0.001,4.0,0.9613636363636363,0.01,0.6635514018691588
65,0.001,5.0,0.9721212121212122,0.01,0.6635514018691588
66,0.001,6.0,0.9424242424242425,0.01,0.6635514018691588
67,0.001,7.0,0.9625757575757575,0.01,0.6635514018691588
68,0.001,8.0,0.963768115942029,0.01,0.6635514018691588
69,0.001,9.0,0.9789393939393939,0.01,0.6635514018691588
70,0.001,10.0,0.9322200263504611,0.01,0.6635514018691588
71,0.001,11.0,0.9674835309617918,0.01,0.6635514018691588
72,0.001,12.0,0.934361001317523,0.01,0.6635514018691588
73,0.001,13.0,0.947878787878788,0.01,0.6635514018691588
74,0.001,14.0,0.9563109354413701,0.01,0.6635514018691588
75,0.001,0.0,0.9365151515151515,0.0001,0.6635514018691588
76,0.001,1.0,0.9563636363636364,0.0001,0.6635514018691588
77,0.001,2.0,0.9363109354413701,0.0001,0.6635514018691588
78,0.001,3.0,0.9456060606060607,0.0001,0.6635514018691588
79,0.001,4.0,0.9573320158102766,0.0001,0.6635514018691588
80,0.001,5.0,0.9635836627140975,0.0001,0.6635514018691588
81,0.001,6.0,0.9526745718050066,0.0001,0.6635514018691588
82,0.001,7.0,0.9677470355731225,0.0001,0.6635514018691588
83,0.001,8.0,0.9716666666666667,0.0001,0.6635514018691588
84,0.001,9.0,0.9443939393939393,0.0001,0.6635514018691588
85,0.001,10.0,0.95,0.0001,0.6635514018691588
86,0.001,11.0,0.9751515151515151,0.0001,0.6635514018691588
87,0.001,12.0,0.9727272727272728,0.0001,0.6635514018691588
88,0.001,13.0,0.9739393939393939,0.0001,0.6635514018691588
89,0.001,14.0,0.9703030303030303,0.0001,0.6635514018691588
90,0.0001,0.0,0.948768115942029,1.0,0.6635514018691588
91,0.0001,1.0,0.9540711462450592,1.0,0.6635514018691588
92,0.0001,2.0,0.9467984189723321,1.0,0.6635514018691588
93,0.0001,3.0,0.9428985507246377,1.0,0.6635514018691588
94,0.0001,4.0,0.961969696969697,1.0,0.6635514018691588
95,0.0001,5.0,0.9613636363636363,1.0,0.6635514018691588
96,0.0001,6.0,0.9564953886693017,1.0,0.6635514018691588
97,0.0001,7.0,0.9463636363636364,1.0,0.6635514018691588
98,0.0001,8.0,0.9625757575757575,1.0,0.6635514018691588
99,0.0001,9.0,0.9546772068511199,1.0,0.6635514018691588
100,0.0001,10.0,0.9534650856389988,1.0,0.6635514018691588
101,0.0001,11.0,0.9572529644268775,1.0,0.6635514018691588
102,0.0001,12.0,0.9643741765480895,1.0,0.6635514018691588
103,0.0001,13.0,0.9703030303030302,1.0,0.6635514018691588
104,0.0001,14.0,0.9660606060606061,1.0,0.6635514018691588
105,0.0001,0.0,0.9757575757575758,0.01,0.6635514018691588
106,0.0001,1.0,0.9554347826086957,0.01,0.6635514018691588
107,0.0001,2.0,0.9860606060606061,0.01,0.6635514018691588
108,0.0001,3.0,0.9781818181818182,0.01,0.6635514018691588
109,0.0001,4.0,0.9457575757575757,0.01,0.6635514018691588
110,0.0001,5.0,0.9740909090909091,0.01,0.6635514018691588
111,0.0001,6.0,0.9684848484848484,0.01,0.6635514018691588
112,0.0001,7.0,0.9583135704874834,0.01,0.6635514018691588
113,0.0001,8.0,0.9413636363636364,0.01,0.6635514018691588
114,0.0001,9.0,0.9690909090909092,0.01,0.6635514018691588
115,0.0001,10.0,0.9709090909090909,0.01,0.6635514018691588
116,0.0001,11.0,0.961080368906456,0.01,0.6635514018691588
117,0.0001,12.0,0.952121212121212,0.01,0.6635514018691588
118,0.0001,13.0,0.9654545454545455,0.01,0.6635514018691588
119,0.0001,14.0,0.9517984189723321,0.01,0.6635514018691588
120,0.0001,0.0,0.9613636363636364,0.0001,0.6635514018691588
121,0.0001,1.0,0.9684848484848486,0.0001,0.6635514018691588
122,0.0001,2.0,0.9728590250329381,0.0001,0.6635514018691588
123,0.0001,3.0,0.948768115942029,0.0001,0.6635514018691588
124,0.0001,4.0,0.945737812911726,0.0001,0.6635514018691588
125,0.0001,5.0,0.9513438735177866,0.0001,0.6635514018691588
126,0.0001,6.0,0.9696969696969697,0.0001,0.6635514018691588
127,0.0001,7.0,0.9836363636363638,0.0001,0.6635514018691588
128,0.0001,8.0,0.9525559947299078,0.0001,0.6635514018691588
129,0.0001,9.0,0.9433135704874835,0.0001,0.6635514018691588
130,0.0001,10.0,0.9579907773386034,0.0001,0.6635514018691588
131,0.0001,11.0,0.9836363636363638,0.0001,0.6635514018691588
132,0.0001,12.0,0.9787878787878788,0.0001,0.6635514018691588
133,0.0001,13.0,0.9463438735177866,0.0001,0.6635514018691588
134,0.0001,14.0,0.9615151515151515,0.0001,0.6635514018691588
135,1e-05,0.0,0.9204150197628459,1.0,0.6635514018691588
136,1e-05,1.0,0.9727272727272728,1.0,0.6635514018691588
137,1e-05,2.0,0.989090909090909,1.0,0.6635514018691588
138,1e-05,3.0,0.9716666666666667,1.0,0.6635514018691588
139,1e-05,4.0,0.9757575757575758,1.0,0.6635514018691588
140,1e-05,5.0,0.9655862977602108,1.0,0.6635514018691588
141,1e-05,6.0,0.9666666666666667,1.0,0.6635514018691588
142,1e-05,7.0,0.9746772068511198,1.0,0.6635514018691588
143,1e-05,8.0,0.9807378129117259,1.0,0.6635514018691588
144,1e-05,9.0,0.9565151515151515,1.0,0.6635514018691588
145,1e-05,10.0,0.9317984189723321,1.0,0.6635514018691588
146,1e-05,11.0,0.9509090909090909,1.0,0.6635514018691588
147,1e-05,12.0,0.96,1.0,0.6635514018691588
148,1e-05,13.0,0.9571014492753623,1.0,0.6635514018691588
149,1e-05,14.0,0.9590711462450592,1.0,0.6635514018691588
150,1e-05,0.0,0.9566469038208169,0.01,0.6635514018691588
151,1e-05,1.0,0.9553030303030303,0.01,0.6635514018691588
152,1e-05,2.0,0.962707509881423,0.01,0.6635514018691588
153,1e-05,3.0,0.9886363636363636,0.01,0.6635514018691588
154,1e-05,4.0,0.9604150197628459,0.01,0.6635514018691588
155,1e-05,5.0,0.9584650856389988,0.01,0.6635514018691588
156,1e-05,6.0,0.9462121212121213,0.01,0.6635514018691588
157,1e-05,7.0,0.9831818181818182,0.01,0.6635514018691588
158,1e-05,8.0,0.9467984189723321,0.01,0.6635514018691588
159,1e-05,9.0,0.9698484848484848,0.01,0.6635514018691588
160,1e-05,10.0,0.9463438735177866,0.01,0.6635514018691588
161,1e-05,11.0,0.9515151515151515,0.01,0.6635514018691588
162,1e-05,12.0,0.9668181818181819,0.01,0.6635514018691588
163,1e-05,13.0,0.9486363636363637,0.01,0.6635514018691588
164,1e-05,14.0,0.963768115942029,0.01,0.6635514018691588
165,1e-05,0.0,0.9554347826086956,0.0001,0.6635514018691588
166,1e-05,1.0,0.9674044795783927,0.0001,0.6635514018691588
167,1e-05,2.0,0.9513241106719367,0.0001,0.6635514018691588
168,1e-05,3.0,0.940737812911726,0.0001,0.6635514018691588
169,1e-05,4.0,0.9408893280632412,0.0001,0.6635514018691588
170,1e-05,5.0,0.9402832674571805,0.0001,0.6635514018691588
171,1e-05,6.0,0.9398089591567852,0.0001,0.6635514018691588
172,1e-05,7.0,0.9915151515151516,0.0001,0.6635514018691588
173,1e-05,8.0,0.9402832674571805,0.0001,0.6635514018691588
174,1e-05,9.0,0.9795454545454545,0.0001,0.6635514018691588
175,1e-05,10.0,0.9818181818181819,0.0001,0.6635514018691588
176,1e-05,11.0,0.9601515151515152,0.0001,0.6635514018691588
177,1e-05,12.0,0.9806060606060606,0.0001,0.6635514018691588
178,1e-05,13.0,0.9722529644268775,0.0001,0.6635514018691588
179,1e-05,14.0,0.9765151515151516,0.0001,0.6635514018691588
